"one","two"
948,458
949,330
950,42
951,623
952,256
953,789
954,179
955,137
956,247
957,643
958,109
959,157
960,711
961,499
962,502
963,177
964,366
965,963
966,684
967,393
968,497
969,245
970,380
971,163
972,345
973,598
974,61
975,36
976,569
977,388
978,474
979,281
980,863
981,289
982,256
983,686
984,926
985,50
986,341
987,160
988,2
989,83
990,829
991,370
992,407
993,161
994,403
995,655
996,670
997,908
998,820
999,321
1000,35
1001,773
1002,338
1003,715
1004,197
1005,276
1006,378
1007,256
1008,611
1009,152
1010,571
1011,835
1012,637
1013,912
1014,77
1015,620
1016,364
1017,911
1018,844
1019,930
1020,480
1021,577
1022,21
1023,1019
1024,353
1025,75
1026,735
1027,171
1028,910
1029,658
1030,511
1031,457
1032,1011
1033,430
1034,335
1035,8
1036,633
1037,982
1038,238
1039,783
1040,428
1041,534
1042,508
1043,441
1044,548
1045,476
1046,206
1047,10
1048,533
1049,600
1050,671
1051,463
1052,481
1053,143
1054,233
1055,760
1056,349
1057,368
1058,850
1059,65
1060,28
1061,903
1062,403
1063,954
1064,744
1065,620
1066,919
1067,138
1068,1008
1069,23
1070,1015
1071,827
1072,829
1073,748
1074,204
1075,96
1076,582
1077,16
1078,537
1079,399
1080,116
1081,630
1082,648
1083,473
1084,109
1085,563
1086,965
1087,793
1088,602
1089,413
1090,138
1091,955
1092,343
1093,253
1094,949
1095,581
1096,92
1097,629
1098,177
1099,241
1100,388
1101,833
1102,872
1103,909
1104,391
1105,1045
1106,884
1107,512
1108,716
1109,992
1110,12
1111,311
1112,32
1113,985
1114,536
1115,45
1116,1111
1117,957
1118,886
1119,83
1120,806
1121,74
1122,1094
1123,871
1124,238
1125,375
1126,482
1127,270
1128,721
1129,226
1130,795
1131,893
1132,983
1133,4
1134,134
1135,74
1136,1055
1137,878
1138,38
1139,634
1140,1002
1141,1044
1142,1140
1143,639
1144,9
1145,408
1146,537
1147,529
1148,679
1149,161
1150,1105
1151,587
1152,707
1153,1098
1154,962
1155,1116
1156,1154
1157,147
1158,973
1159,62
1160,667
1161,645
1162,694
1163,929
1164,229
1165,554
1166,143
1167,793
1168,373
1169,23
1170,652
1171,412
1172,418
1173,1137
1174,418
1175,619
1176,110
1177,151
1178,887
1179,1036
1180,102
1181,509
1182,945
1183,37
1184,960
1185,607
1186,1141
1187,143
1188,1186
1189,836
1190,654
1191,1017
1192,256
1193,72
1194,425
1195,663
1196,527
1197,300
1198,114
1199,976
1200,684
1201,570
1202,375
1203,686
1204,966
1205,568
1206,271
1207,276
1208,1017
1209,9
1210,745
1211,983
1212,639
1213,988
1214,310
1215,970
1216,196
1217,1193
1218,727
1219,112
1220,785
1221,989
1222,1022
1223,396
1224,1064
1225,77
1226,527
1227,464
1228,534
1229,409
1230,66
1231,982
1232,790
1233,563
1234,488
1235,531
1236,310
1237,909
1238,240
1239,371
1240,265
1241,735
1242,1021
1243,1239
1244,1089
1245,516
1246,1057
1247,1098
1248,824
1249,120
1250,739
1251,723
1252,51
1253,967
1254,7
1255,335
1256,829
1257,648
1258,723
1259,1136
1260,410
1261,1043
1262,641
1263,458
1264,906
1265,28
1266,823
1267,276
1268,1057
1269,661
1270,955
1271,1199
1272,11
1273,1212
1274,231
1275,31
1276,30
1277,362
1278,525
1279,76
1280,431
1281,783
1282,153
1283,1197
1284,678
1285,1214
1286,834
1287,708
1288,496
1289,134
1290,832
1291,828
1292,1187
1293,1146
1294,878
1295,358
1296,185
1297,426
1298,661
1299,40
1300,824
1301,1250
1302,388
1303,995
1304,484
1305,716
1306,654
1307,21
1308,473
1309,446
1310,1003
1311,702
1312,457
1313,189
1314,1157
1315,579
1316,809
1317,1313
1318,419
1319,724
1320,726
1321,442
1322,439
1323,748
1324,168
1325,1091
1326,1098
1327,927
1328,1187
1329,284
1330,64
1331,578
1332,958
1333,153
1334,957
1335,1188
1336,1149
1337,324
1338,720
1339,514
1340,230
1341,249
1342,185
1343,735
1344,884
1345,774
1346,164
1347,1174
1348,359
1349,1258
1350,807
1351,194
1352,533
1353,926
1354,235
1355,881
1356,15
1357,162
1358,1269
1359,968
1360,52
1361,93
1362,1254
1363,1084
1364,1310
1365,1228
1366,142
1367,1343
1368,1286
1369,278
1370,791
1371,253
1372,797
1373,152
1374,516
1375,1215
1376,802
1377,475
1378,554
1379,409
1380,1127
1381,684
1382,72
1383,846
1384,1202
1385,738
1386,360
1387,1109
1388,947
1389,93
1390,495
1391,314
1392,624
1393,1330
1394,216
1395,588
1396,1340
1397,159
1398,155
1399,213
1400,1230
1401,1286
1402,123
1403,288
1404,4
1405,1020
1406,46
1407,1172
1408,49
1409,31
1410,1342
1411,653
1412,1171
1413,886
1414,996
1415,34
1416,200
1417,331
1418,1333
1419,1411
1420,1001
1421,1270
1422,591
1423,1013
1424,627
1425,104
1426,574
1427,1258
1428,576
1429,1310
1430,550
1431,133
1432,1125
1433,232
1434,1066
1435,744
1436,1121
1437,263
1438,423
1439,94
1440,519
1441,921
1442,1213
1443,401
1444,693
1445,758
1446,658
1447,1359
1448,430
1449,844
1450,1355
1451,502
1452,705
1453,851
1454,927
1455,764
1456,261
1457,1270
1458,481
1459,423
1460,125
1461,596
1462,229
1463,670
1464,1214
1465,1291
1466,419
1467,740
1468,1005
1469,344
1470,870
1471,808
1472,582
1473,836
1474,423
1475,165
1476,1132
1477,180
1478,633
1479,1091
1480,979
1481,744
1482,1272
1483,223
1484,509
1485,1091
1486,824
1487,171
1488,1453
1489,976
1490,737
1491,1126
1492,903
1493,479
1494,208
1495,146
1496,510
1497,747
1498,753
1499,115
1500,362
1501,926
1502,1108
1503,109
1504,1175
1505,478
1506,618
1507,1279
1508,1034
1509,1133
1510,1356
1511,361
1512,1000
1513,680
1514,189
1515,1448
1516,235
1517,679
1518,703
1519,1397
1520,947
1521,411
1522,59
1523,92
1524,92
1525,544
1526,867
1527,540
1528,601
1529,1127
1530,312
1531,178
1532,693
1533,451
1534,867
1535,1336
1536,233
1537,1255
1538,1308
1539,671
1540,1052
1541,129
1542,1352
1543,131
1544,1056
1545,1442
1546,23
1547,480
1548,135
1549,765
1550,1497
1551,651
1552,118
1553,1462
1554,952
1555,121
1556,328
1557,799
1558,1499
1559,1550
1560,1217
1561,303
1562,345
1563,57
1564,35
1565,1296
1566,1354
1567,1210
1568,1085
1569,90
1570,711
1571,361
1572,223
1573,773
1574,1127
1575,474
1576,490
1577,548
1578,1345
1579,336
1580,1509
1581,124
1582,2
1583,1520
1584,771
1585,712
1586,654
1587,132
1588,60
1589,254
1590,800
1591,1188
1592,209
1593,104
1594,1431
1595,1460
1596,1269
1597,586
1598,353
1599,7
1600,1407
1601,1351
1602,1109
1603,622
1604,152
1605,1445
1606,638
1607,964
1608,726
1609,135
1610,634
1611,65
1612,906
1613,1078
1614,653
1615,676
1616,335
1617,547
1618,1001
1619,1290
1620,510
1621,1467
1622,995
1623,104
1624,341
1625,1166
1626,880
1627,648
1628,370
1629,311
1630,166
1631,739
1632,712
1633,688
1634,1166
1635,1330
1636,1001
1637,300
1638,1247
1639,1003
1640,92
1641,548
1642,229
1643,1100
1644,645
1645,359
1646,772
1647,1599
1648,321
1649,1143
1650,1526
1651,280
1652,1537
1653,946
1654,53
1655,337
1656,1571
1657,173
1658,814
1659,782
1660,1293
1661,1290
1662,82
1663,869
1664,1305
1665,1112
1666,1289
1667,859
1668,392
1669,248
1670,613
1671,419
1672,729
1673,1294
1674,1189
1675,127
1676,63
1677,1067
1678,1451
1679,814
1680,777
1681,1366
1682,121
1683,89
1684,1061
1685,463
1686,827
1687,1591
1688,669
1689,1331
1690,852
1691,199
1692,1677
1693,1259
1694,555
1695,895
1696,1649
1697,763
1698,768
1699,325
1700,1215
1701,924
1702,992
1703,711
1704,116
1705,1379
1706,1384
1707,1616
1708,1304
1709,1547
1710,991
1711,242
1712,513
1713,898
1714,819
1715,1320
1716,201
1717,523
1718,969
1719,772
1720,108
1721,912
1722,521
1723,703
1724,527
1725,1037
1726,459
1727,268
1728,1602
1729,419
1730,49
1731,1120
1732,1100
1733,694
1734,31
1735,64
1736,316
1737,277
1738,1170
1739,372
1740,208
1741,229
1742,737
1743,1187
1744,180
1745,1461
1746,743
1747,411
1748,1388
1749,1132
1750,1454
1751,1153
1752,479
1753,819
1754,954
1755,1487
1756,1593
1757,238
1758,408
1759,777
1760,1339
1761,351
1762,352
1763,1404
1764,62
1765,1587
1766,852
1767,1361
1768,1639
1769,1374
1770,1141
1771,1081
1772,838
1773,108
1774,1522
1775,1713
1776,268
1777,1468
1778,570
1779,1275
1780,304
1781,514
1782,567
1783,920
1784,41
1785,5
1786,253
1787,1661
1788,93
1789,526
1790,417
1791,1189
1792,462
1793,1216
1794,1548
1795,952
1796,917
1797,1672
1798,1662
1799,882
1800,7
1801,1503
1802,276
1803,265
1804,1545
1805,1456
1806,76
1807,746
1808,477
1809,94
1810,1089
1811,863
1812,977
1813,979
1814,638
1815,78
1816,704
1817,625
1818,1443
1819,1778
1820,1226
1821,900
1822,4
1823,633
1824,1396
1825,260
1826,1109
1827,719
1828,1233
1829,1585
1830,7
1831,1576
1832,466
1833,1087
1834,1147
1835,1477
1836,1395
1837,1323
1838,782
1839,1576
1840,1561
1841,1016
1842,749
1843,734
1844,782
1845,1753
1846,1727
1847,270
1848,1754
1849,1349
1850,1649
1851,1722
1852,1798
1853,1071
1854,259
1855,422
1856,1835
1857,816
1858,67
1859,1520
1860,1362
1861,1168
1862,1513
1863,604
1864,1295
1865,1148
1866,472
1867,1214
1868,1730
1869,790
1870,850
1871,250
1872,438
1873,1835
1874,554
1875,1493
1876,456
1877,1711
1878,1107
1879,482
1880,1701
1881,698
1882,258
1883,468
1884,779
1885,276
1886,226
1887,1391
1888,855
1889,1366
1890,79
1891,1608
1892,1354
1893,338
1894,803
1895,1401
1896,1699
1897,569
1898,1460
1899,1699
1900,1302
1901,568
1902,3
1903,727
1904,1736
1905,1048
1906,48
1907,914
1908,1587
1909,1879
1910,60
1911,649
1912,1645
1913,477
1914,637
1915,494
1916,1724
1917,1150
1918,1728
1919,154
1920,1367
1921,1317
1922,598
1923,390
1924,1428
1925,674
1926,802
1927,896
1928,1434
1929,225
1930,327
1931,1833
1932,1598
1933,413
1934,1446
1935,1066
1936,1923
1937,1400
1938,1556
1939,1315
1940,35
1941,1106
1942,1613
1943,509
1944,1620
1945,1493
1946,1212
1947,1514
1948,1012
1949,702
1950,459
1951,185
1952,766
1953,499
1954,1859
1955,1400
1956,1059
1957,952
1958,523
1959,50
1960,989
1961,1539
1962,1706
1963,217
1964,1071
1965,481
1966,676
1967,500
1968,911
1969,1084
1970,1328
1971,860
1972,1949
1973,1778
1974,1511
1975,1610
1976,1499
1977,71
1978,811
1979,1340
1980,1814
1981,1501
1982,1551
1983,474
1984,1023
1985,49
1986,1329
1987,1225
1988,1642
1989,774
1990,787
1991,793
1992,62
1993,998
1994,1506
1995,586
1996,1440
1997,1352
1998,186
1999,698
2000,1645
2001,1985
2002,1588
2003,1207
2004,1260
2005,601
2006,73
2007,1442
2008,1038
2009,1337
2010,1789
2011,1912
2012,92
2013,1942
2014,1251
2015,831
2016,1434
2017,1059
2018,375
2019,718
2020,136
2021,1680
2022,260
2023,1775
2024,944
2025,201
2026,656
2027,1812
2028,648
2029,382
2030,1161
2031,912
2032,798
2033,1431
2034,897
2035,646
2036,1806
2037,1816
2038,484
2039,1797
2040,1348
2041,15
2042,1289
2043,257
2044,727
2045,418
2046,1309
2047,1865
2048,297
2049,1002
2050,18
2051,1702
2052,503
2053,504
2054,918
2055,1551
2056,1894
2057,156
2058,1454
2059,982
2060,579
2061,1585
2062,478
2063,579
2064,754
2065,1748
2066,126
2067,34
2068,927
2069,1972
2070,86
2071,1158
2072,1544
2073,1531
2074,1583
2075,1910
2076,1533
2077,727
2078,1223
2079,1180
2080,685
2081,1569
2082,865
2083,1723
2084,1520
2085,1571
2086,1697
2087,543
2088,261
2089,336
2090,1066
2091,1663
2092,2091
2093,88
2094,1516
2095,286
2096,2070
2097,1551
2098,1359
2099,97
2100,354
2101,1799
2102,1035
2103,921
2104,1194
2105,489
2106,1760
2107,1142
2108,1015
2109,487
2110,1402
2111,1589
2112,1614
2113,1991
2114,1774
2115,20
2116,724
2117,138
2118,1236
2119,64
2120,2016
2121,156
2122,843
2123,1817
2124,1216
2125,1820
2126,429
2127,1844
2128,428
2129,496
2130,1568
2131,237
2132,1764
2133,171
2134,986
2135,1603
2136,1953
2137,1738
2138,1219
2139,2044
2140,1777
2141,1155
2142,2115
2143,112
2144,1296
2145,587
2146,812
2147,361
2148,487
2149,1209
2150,643
2151,700
2152,339
2153,712
2154,2054
2155,1290
2156,458
2157,979
2158,729
2159,2070
2160,1598
2161,1026
2162,1187
2163,1474
2164,1968
2165,304
2166,2156
2167,1865
2168,1818
2169,1117
2170,1431
2171,490
2172,966
2173,1514
2174,877
2175,1893
2176,2070
2177,932
2178,330
2179,526
2180,778
2181,770
2182,353
2183,1623
2184,273
2185,337
2186,279
2187,263
2188,1258
2189,1677
2190,1799
2191,1981
2192,1505
2193,2009
2194,892
2195,380
2196,2048
2197,1779
2198,1107
2199,1834
2200,290
2201,175
2202,350
2203,310
2204,1316
2205,115
2206,1319
2207,11
2208,1518
2209,989
2210,884
2211,1718
2212,1594
2213,1827
2214,208
2215,1634
2216,2086
2217,1797
2218,1440
2219,726
2220,1883
2221,912
2222,1756
2223,2204
2224,763
2225,2206
2226,1060
2227,965
2228,332
2229,19
2230,415
2231,423
2232,995
2233,1704
2234,62
2235,935
2236,1593
2237,383
2238,1201
2239,748
2240,909
2241,1903
2242,1288
2243,1695
2244,1042
2245,138
2246,2145
2247,1166
2248,187
2249,1201
2250,1459
2251,1295
2252,20
2253,2117
2254,977
2255,449
2256,1581
2257,1952
2258,2057
2259,2218
2260,31
2261,16
2262,762
2263,337
2264,1705
2265,1848
2266,1721
2267,855
2268,973
2269,133
2270,1360
2271,1162
2272,1501
2273,922
2274,319
2275,475
2276,1568
2277,678
2278,1638
2279,1126
2280,1169
2281,1306
2282,543
2283,1213
2284,326
2285,1352
2286,2000
2287,539
2288,1035
2289,1990
2290,1894
2291,1759
2292,2212
2293,476
2294,965
2295,1066
2296,1839
2297,448
2298,638
2299,528
2300,423
2301,1765
2302,860
2303,2015
2304,1348
2305,14
2306,208
2307,1740
2308,2138
2309,823
2310,1436
2311,1553
2312,706
2313,1027
2314,825
2315,703
2316,1384
2317,1522
2318,568
2319,1084
2320,630
2321,1282
2322,1551
2323,1505
2324,2081
2325,968
2326,146
2327,1967
2328,1173
2329,1226
2330,2216
2331,751
2332,1854
2333,11
2334,2059
2335,1949
2336,345
2337,545
2338,1581
2339,334
2340,2269
2341,496
2342,1668
2343,303
2344,1728
2345,352
2346,1155
2347,1927
2348,1003
2349,101
2350,2169
2351,818
2352,102
2353,1558
2354,612
2355,1111
2356,2229
2357,221
2358,1175
2359,1623
2360,73
2361,1579
2362,2306
2363,1730
2364,1225
2365,992
2366,1282
2367,942
2368,380
2369,351
2370,1129
2371,1778
2372,479
2373,1622
2374,530
2375,1432
2376,1556
2377,2253
2378,1804
2379,613
2380,467
2381,1078
2382,2084
2383,863
2384,2198
2385,1460
2386,1916
2387,1809
2388,1743
2389,1016
2390,1232
2391,2110
2392,1216
2393,2293
2394,1424
2395,1668
2396,2219
2397,690
2398,1933
2399,1018
2400,755
2401,2349
2402,1630
2403,1753
2404,861
2405,2141
2406,1953
2407,123
2408,669
2409,1803
2410,1746
2411,641
2412,1141
2413,1073
2414,1793
2415,1787
2416,1056
2417,419
2418,863
2419,2119
2420,2224
2421,1594
2422,2117
2423,1925
2424,2390
2425,2076
2426,1637
2427,1510
2428,1162
2429,1131
2430,1296
2431,217
2432,301
2433,803
2434,584
2435,1317
2436,2324
2437,431
2438,682
2439,1687
2440,1890
2441,548
2442,1228
2443,1373
2444,1274
2445,2326
2446,1817
2447,748
2448,1458
2449,1061
2450,932
2451,837
2452,1581
2453,671
2454,1885
2455,1816
2456,769
2457,778
2458,1017
2459,807
2460,79
2461,2121
2462,534
2463,442
2464,1270
2465,2394
2466,1509
2467,1999
2468,978
2469,122
2470,787
2471,2444
2472,396
2473,446
2474,2180
2475,1693
2476,671
2477,1269
2478,774
2479,1238
2480,328
2481,1269
2482,305
2483,243
2484,599
2485,2393
2486,833
2487,2363
2488,2449
2489,68
2490,564
2491,1050
2492,622
2493,2492
2494,210
2495,582
2496,2108
2497,2015
2498,1438
2499,1554
2500,1978
2501,1354
2502,1251
2503,1154
2504,345
2505,643
2506,1076
2507,2194
2508,378
2509,1396
2510,976
2511,1567
2512,2186
2513,256
2514,955
2515,1049
2516,2512
2517,28
2518,1713
2519,789
2520,1242
2521,2505
2522,121
2523,590
2524,2327
2525,723
2526,1613
2527,378
2528,598
2529,1435
2530,1591
2531,1196
2532,244
2533,888
2534,1223
2535,2061
2536,61
2537,2524
2538,1023
2539,838
2540,2493
2541,364
2542,35
2543,724
2544,135
2545,1475
2546,2219
2547,2277
2548,742
2549,1948
2550,1215
2551,2535
2552,371
2553,2416
2554,1292
2555,895
2556,2028
2557,1514
2558,180
2559,1169
2560,1891
2561,2053
2562,1065
2563,269
2564,932
2565,779
2566,2211
2567,1696
2568,2130
2569,1926
2570,1363
2571,2236
2572,1806
2573,1694
2574,1756
2575,2403
2576,275
2577,2119
2578,2269
2579,1054
2580,423
2581,1764
2582,2334
2583,863
2584,2491
2585,2358
2586,2396
2587,2046
2588,600
2589,206
2590,771
2591,2518
2592,238
2593,1136
2594,1092
2595,248
2596,751
2597,2029
2598,1363
2599,11
2600,632
2601,2101
2602,828
2603,1694
2604,2377
2605,2181
2606,1476
2607,2183
2608,96
2609,2220
2610,2350
2611,737
2612,1853
2613,483
2614,2133
2615,1072
2616,1882
2617,2495
2618,505
2619,85
2620,1735
2621,1312
2622,2573
2623,2218
2624,1857
2625,1521
2626,1604
2627,1680
2628,664
2629,1197
2630,1103
2631,1308
2632,481
2633,154
2634,1779
2635,1706
2636,847
2637,1232
2638,1177
2639,2228
2640,1708
2641,2037
2642,1769
2643,2528
2644,888
2645,1426
2646,1828
2647,183
2648,1329
2649,2150
2650,1160
2651,1506
2652,317
2653,1753
2654,1509
2655,1646
2656,994
2657,2288
2658,2248
2659,1740
2660,2340
2661,259
2662,593
2663,1005
2664,60
2665,2162
2666,40
2667,1326
2668,1339
2669,745
2670,2349
2671,1838
2672,707
2673,1496
2674,1967
2675,2125
2676,1179
2677,2510
2678,2412
2679,2605
2680,2184
2681,429
2682,2401
2683,982
2684,186
2685,518
2686,325
2687,1819
2688,746
2689,2680
2690,1014
2691,1856
2692,519
2693,1564
2694,1801
2695,2677
2696,1866
2697,1105
2698,2277
2699,134
2700,874
2701,2023
2702,1598
2703,1865
2704,776
2705,2008
2706,1645
2707,846
2708,590
2709,1141
2710,982
2711,1765
2712,1456
2713,683
2714,235
2715,181
2716,2686
2717,1401
2718,405
2719,1460
2720,622
2721,1618
2722,1122
2723,706
2724,1236
2725,1225
2726,203
2727,1523
2728,2672
2729,427
2730,2062
2731,1218
2732,2718
2733,1737
2734,994
2735,476
2736,2641
2737,1804
2738,171
2739,2329
2740,54
2741,1867
2742,1517
2743,1358
2744,757
2745,400
2746,762
2747,216
2748,346
2749,2113
2750,2193
2751,637
2752,2685
2753,1049
2754,1066
2755,349
2756,289
2757,2468
2758,882
2759,2290
2760,2100
2761,954
2762,2034
2763,1783
2764,1528
2765,1127
2766,1757
2767,2728
2768,1907
2769,616
2770,1633
2771,548
2772,341
2773,2065
2774,1539
2775,1106
2776,44
2777,2277
2778,1759
2779,1723
2780,531
2781,1204
2782,1697
2783,21
2784,1811
2785,1137
2786,2745
2787,813
2788,2454
2789,2744
2790,378
2791,2258
2792,410
2793,2504
2794,3
2795,1904
2796,1204
2797,1640
2798,2778
2799,2465
2800,1039
2801,1713
2802,2634
2803,1763
2804,2474
2805,855
2806,1993
2807,1715
2808,1849
2809,1946
2810,105
2811,913
2812,594
2813,1348
2814,2683
2815,531
2816,1358
2817,2750
2818,1129
2819,1437
2820,2365
2821,1075
2822,1003
2823,914
2824,433
2825,1843
2826,2260
2827,53
2828,864
2829,191
2830,233
2831,1061
2832,1054
2833,1385
2834,2151
2835,1798
